BLOCO;REGIÃO;PAÍS;VALOR DA RESERVA;ANO
OPEP;Américas Central e do Sul;Equador;2;2011
OPEP;Américas Central e do Sul;Equador;1,942398273;2012
OPEP;Américas Central e do Sul;Equador;2,056931986;2013
OPEP;Américas Central e do Sul;Equador;1,772935126;2014
OPEP;Américas Central e do Sul;Equador;1,8062434;2015
OPEP;Américas Central e do Sul;Equador;1,7037503;2016
OPEP;Américas Central e do Sul;Equador;1,6323077;2017
OPEP;Américas Central e do Sul;Equador;1,3025471;2018
OPEP;Américas Central e do Sul;Equador;1,3025471;2019
OPEP;Américas Central e do Sul;Equador;1;2020
Não OPEP;Américas Central e do Sul;Peru;1,2;2011
Não OPEP;Américas Central e do Sul;Peru;1,4227;2012
Não OPEP;Américas Central e do Sul;Peru;1,616952;2013
Não OPEP;Américas Central e do Sul;Peru;1,409846;2014
Não OPEP;Américas Central e do Sul;Peru;1,187285;2015
Não OPEP;Américas Central e do Sul;Peru;1,224601;2016
Não OPEP;Américas Central e do Sul;Peru;0,985075;2017
Não OPEP;Américas Central e do Sul;Peru;0,85889;2018
Não OPEP;Américas Central e do Sul;Peru;0,803176687;2019
Não OPEP;Américas Central e do Sul;Peru;1;2020
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,8;2011
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,83;2012
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,83;2013
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,83;2014
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,7283;2015
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2016
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2017
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2018
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2019
Não OPEP;Américas Central e do Sul;Trinidad e Tobago;0;2020
OPEP;Américas Central e do Sul;Venezuela;297,6;2011
OPEP;Américas Central e do Sul;Venezuela;297,735;2012
OPEP;Américas Central e do Sul;Venezuela;298,3532;2013
OPEP;Américas Central e do Sul;Venezuela;299,9532;2014
OPEP;Américas Central e do Sul;Venezuela;300,8783;2015
OPEP;Américas Central e do Sul;Venezuela;302,2504;2016
OPEP;Américas Central e do Sul;Venezuela;302,808;2017
OPEP;Américas Central e do Sul;Venezuela;303,805745;2018
OPEP;Américas Central e do Sul;Venezuela;303,805745;2019
OPEP;Américas Central e do Sul;Venezuela;304;2020
Não OPEP;Américas Central e do Sul;Outros;0,5;2011
Não OPEP;Américas Central e do Sul;Outros;0,5135324;2012
Não OPEP;Américas Central e do Sul;Outros;0,5306172;2013
Não OPEP;Américas Central e do Sul;Outros;0,5402171;2014
Não OPEP;Américas Central e do Sul;Outros;0,5214782;2015
Não OPEP;Américas Central e do Sul;Outros;0,5218385;2016
Não OPEP;Américas Central e do Sul;Outros;0,575421491;2017
Não OPEP;Américas Central e do Sul;Outros;0,573415291;2018
Não OPEP;Américas Central e do Sul;Outros;0,72177312;2019
Não OPEP;Américas Central e do Sul;Outros;1;2020
Não OPEP;Europa;Dinamarca;0,8;2011
Não OPEP;Europa;Dinamarca;0,729618046;2012
Não OPEP;Europa;Dinamarca;0,67300975;2013
Não OPEP;Europa;Dinamarca;0,610111642;2014
Não OPEP;Europa;Dinamarca;0,490605238;2015
Não OPEP;Europa;Dinamarca;0,440286752;2016
Não OPEP;Europa;Dinamarca;0,427707131;2017
Não OPEP;Europa;Dinamarca;0,440286752;2018
Não OPEP;Europa;Dinamarca;0,427707131;2019
Não OPEP;Europa;Dinamarca;0;2020
Não OPEP;Europa;Itália;0,6;2011
Não OPEP;Europa;Itália;0,621149985;2012
Não OPEP;Europa;Itália;0,603438525;2013
Não OPEP;Europa;Itália;0,641904183;2014
Não OPEP;Europa;Itália;0,616956759;2015
Não OPEP;Europa;Itália;0,540570411;2016
Não OPEP;Europa;Itália;0,592228836;2017
Não OPEP;Europa;Itália;0,573972408;2018
Não OPEP;Europa;Itália;0,551810376;2019
Não OPEP;Europa;Itália;1;2020
Não OPEP;Europa;Noruega;6,9;2011
Não OPEP;Europa;Noruega;7,494603397;2012
Não OPEP;Europa;Noruega;7,047489708;2013
Não OPEP;Europa;Noruega;6,539223922;2014
Não OPEP;Europa;Noruega;8,005041226;2015
Não OPEP;Europa;Noruega;7,601219652;2016
Não OPEP;Europa;Noruega;7,917996888;2017
Não OPEP;Europa;Noruega;8,644514705;2018
Não OPEP;Europa;Noruega;8,522989624;2019
Não OPEP;Europa;Noruega;8;2020
Não OPEP;Europa;Reino Unido;3,1;2011
Não OPEP;Europa;Reino Unido;3,0375;2012
Não OPEP;Europa;Reino Unido;3,03;2013
Não OPEP;Europa;Reino Unido;2,805;2014
Não OPEP;Europa;Reino Unido;2,5423575;2015
Não OPEP;Europa;Reino Unido;2,313275817;2016
Não OPEP;Europa;Reino Unido;2,5;2017
Não OPEP;Europa;Reino Unido;2,7;2018
Não OPEP;Europa;Reino Unido;2,5;2019
Não OPEP;Europa;Reino Unido;2;2020
Não OPEP;Europa;Romênia;0,6;2011
Não OPEP;Europa;Romênia;0,6;2012
Não OPEP;Europa;Romênia;0,6;2013
Não OPEP;Europa;Romênia;0,6;2014
Não OPEP;Europa;Romênia;0,6;2015
Não OPEP;Europa;Romênia;0,6;2016
Não OPEP;Europa;Romênia;0,6;2017
Não OPEP;Europa;Romênia;0,6;2018
Não OPEP;Europa;Romênia;0,6;2019
Não OPEP;Europa;Romênia;1;2020
Não OPEP;Europa;Outros;1,9;2011
Não OPEP;Europa;Outros;1,765415282;2012
Não OPEP;Europa;Outros;1,747385221;2013
Não OPEP;Europa;Outros;1,695681355;2014
Não OPEP;Europa;Outros;1,666383554;2015
Não OPEP;Europa;Outros;1,653443597;2016
Não OPEP;Europa;Outros;1,578717216;2017
Não OPEP;Europa;Outros;1,565852537;2018
Não OPEP;Europa;Outros;1,593226468;2019
Não OPEP;Europa;Outros;2;2020
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2011
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2012
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2013
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2014
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2015
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2016
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2017
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2018
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2019
Não OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2020
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2011
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2012
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2013
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2014
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2015
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2016
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2017
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2018
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2019
Não OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2020
Não OPEP;Comunidade dos Estados Independentes;Rússia;105,7;2011
Não OPEP;Comunidade dos Estados Independentes;Rússia;105,491586;2012
Não OPEP;Comunidade dos Estados Independentes;Rússia;105,0164164;2013
Não OPEP;Comunidade dos Estados Independentes;Rússia;103,163892;2014
Não OPEP;Comunidade dos Estados Independentes;Rússia;102,3752;2015
Não OPEP;Comunidade dos Estados Independentes;Rússia;106,28289;2016
Não OPEP;Comunidade dos Estados Independentes;Rússia;106,591534;2017
Não OPEP;Comunidade dos Estados Independentes;Rússia;107,2207794;2018
Não OPEP;Comunidade dos Estados Independentes;Rússia;107,8042392;2019
Não OPEP;Comunidade dos Estados Independentes;Rússia;108;2020
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2011
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2012
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2013
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2014
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2015
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2016
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2017
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2018
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2019
Não OPEP;Comunidade dos Estados Independentes;Turcomenistão;1;2020
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,6;2011
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2012
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2013
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2014
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2015
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2016
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2017
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2018
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2019
Não OPEP;Comunidade dos Estados Independentes;Uzbequistão;1;2020
Não OPEP;Comunidade dos Estados Independentes;Outros;0,3;2011
Não OPEP;Comunidade dos Estados Independentes;Outros;0,25;2012
Não OPEP;Comunidade dos Estados Independentes;Outros;0,25;2013
Não OPEP;Comunidade dos Estados Independentes;Outros;0,25;2014
Não OPEP;Comunidade dos Estados Independentes;Outros;0,25;2015
Não OPEP;Comunidade dos Estados Independentes;Outros;0,25;2016
Não OPEP;Comunidade dos Estados Independentes;Outros;0,25;2017
Não OPEP;Comunidade dos Estados Independentes;Outros;0,25;2018
Não OPEP;Comunidade dos Estados Independentes;Outros;0,25;2019
Não OPEP;Comunidade dos Estados Independentes;Outros;0;2020
OPEP;Oriente Médio;Arábia Saudita;265,4;2011
OPEP;Oriente Médio;Arábia Saudita;265,85;2012
OPEP;Oriente Médio;Arábia Saudita;265,789;2013
OPEP;Oriente Médio;Arábia Saudita;266,578;2014
OPEP;Oriente Médio;Arábia Saudita;266,455;2015
OPEP;Oriente Médio;Arábia Saudita;266,208;2016
OPEP;Oriente Médio;Arábia Saudita;295,958;2017
OPEP;Oriente Médio;Arábia Saudita;297,671;2018
OPEP;Oriente Médio;Arábia Saudita;297,578;2019
OPEP;Oriente Médio;Arábia Saudita;298;2020
Não OPEP;Oriente Médio;Catar;23,9;2011
Não OPEP;Oriente Médio;Catar;25,229;2012
Não OPEP;Oriente Médio;Catar;25,063;2013
Não OPEP;Oriente Médio;Catar;25,705;2014
Não OPEP;Oriente Médio;Catar;25,244;2015
Não OPEP;Oriente Médio;Catar;25,244;2016
Não OPEP;Oriente Médio;Catar;25,244;2017
Não OPEP;Oriente Médio;Catar;25,244;2018
Não OPEP;Oriente Médio;Catar;25,244;2019
Não OPEP;Oriente Médio;Catar;25;2020
OPEP;Oriente Médio;Coveite;101,5;2011
OPEP;Oriente Médio;Coveite;101,5;2012
OPEP;Oriente Médio;Coveite;101,5;2013
OPEP;Oriente Médio;Coveite;101,5;2014
OPEP;Oriente Médio;Coveite;101,5;2015
OPEP;Oriente Médio;Coveite;101,5;2016
OPEP;Oriente Médio;Coveite;101,5;2017
OPEP;Oriente Médio;Coveite;101,5;2018
OPEP;Oriente Médio;Coveite;101,5;2019
OPEP;Oriente Médio;Coveite;102;2020
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2011
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2012
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2013
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2014
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2015
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2016
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2017
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2018
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2019
OPEP;Oriente Médio;Emirados Árabes Unidos;98;2020
Não OPEP;Oriente Médio;Iêmen;3;2011
Não OPEP;Oriente Médio;Iêmen;3;2012
Não OPEP;Oriente Médio;Iêmen;3;2013
Não OPEP;Oriente Médio;Iêmen;3;2014
Não OPEP;Oriente Médio;Iêmen;3;2015
Não OPEP;Oriente Médio;Iêmen;3;2016
Não OPEP;Oriente Médio;Iêmen;3;2017
Não OPEP;Oriente Médio;Iêmen;3;2018
Não OPEP;Oriente Médio;Iêmen;3;2019
Não OPEP;Oriente Médio;Iêmen;3;2020
OPEP;Oriente Médio;Irã;154,6;2011
OPEP;Oriente Médio;Irã;157,3;2012
OPEP;Oriente Médio;Irã;157,8;2013
OPEP;Oriente Médio;Irã;157,53;2014
OPEP;Oriente Médio;Irã;158,4;2015
OPEP;Oriente Médio;Irã;157,2;2016
OPEP;Oriente Médio;Irã;155,6;2017
OPEP;Oriente Médio;Irã;155,6;2018
OPEP;Oriente Médio;Irã;157,8;2019
OPEP;Oriente Médio;Irã;158;2020
OPEP;Oriente Médio;Iraque;143,1;2011
OPEP;Oriente Médio;Iraque;140,3;2012
OPEP;Oriente Médio;Iraque;144,211;2013
OPEP;Oriente Médio;Iraque;143,069;2014
OPEP;Oriente Médio;Iraque;142,503;2015
OPEP;Oriente Médio;Iraque;148,766;2016
OPEP;Oriente Médio;Iraque;147,223;2017
OPEP;Oriente Médio;Iraque;145,019;2018
OPEP;Oriente Médio;Iraque;145,019;2019
OPEP;Oriente Médio;Iraque;145;2020
Não OPEP;Oriente Médio;Omã;5,5;2011
Não OPEP;Oriente Médio;Omã;5,5;2012
Não OPEP;Oriente Médio;Omã;4,9743;2013
Não OPEP;Oriente Médio;Omã;5,151;2014
Não OPEP;Oriente Médio;Omã;5,306;2015
Não OPEP;Oriente Médio;Omã;5,373;2016
Não OPEP;Oriente Médio;Omã;5,373;2017
Não OPEP;Oriente Médio;Omã;5,373;2018
Não OPEP;Oriente Médio;Omã;5,373;2019
Não OPEP;Oriente Médio;Omã;5;2020
Não OPEP;Oriente Médio;Síria;2,5;2011
Não OPEP;Oriente Médio;Síria;2,5;2012
Não OPEP;Oriente Médio;Síria;2,5;2013
Não OPEP;Oriente Médio;Síria;2,5;2014
Não OPEP;Oriente Médio;Síria;2,5;2015
Não OPEP;Oriente Médio;Síria;2,5;2016
Não OPEP;Oriente Médio;Síria;2,5;2017
Não OPEP;Oriente Médio;Síria;2,5;2018
Não OPEP;Oriente Médio;Síria;2,5;2019
Não OPEP;Oriente Médio;Síria;2;2020
Não OPEP;Oriente Médio;Outros;0,7;2011
Não OPEP;Oriente Médio;Outros;0,2793;2012
Não OPEP;Oriente Médio;Outros;0,260685;2013
Não OPEP;Oriente Médio;Outros;0,239253;2014
Não OPEP;Oriente Médio;Outros;0,217053;2015
Não OPEP;Oriente Médio;Outros;0,14691005;2016
Não OPEP;Oriente Médio;Outros;0,13523;2017
Não OPEP;Oriente Médio;Outros;0,15673;2018
Não OPEP;Oriente Médio;Outros;0,19443;2019
Não OPEP;Oriente Médio;Outros;0;2020
OPEP;África;Argélia;12,2;2011
OPEP;África;Argélia;12,2;2012
OPEP;África;Argélia;12,2;2013
OPEP;África;Argélia;12,2;2014
OPEP;África;Argélia;12,2;2015
OPEP;África;Argélia;12,2;2016
OPEP;África;Argélia;12,2;2017
OPEP;África;Argélia;12,2;2018
OPEP;África;Argélia;12,2;2019
OPEP;África;Argélia;12;2020
OPEP;África;Angola;9,1;2011
OPEP;África;Angola;9,055;2012
OPEP;África;Angola;9,011;2013
OPEP;África;Angola;8,423;2014
OPEP;África;Angola;9,524;2015
OPEP;África;Angola;9,523;2016
OPEP;África;Angola;8,384;2017
OPEP;África;Angola;8,16;2018
OPEP;África;Angola;7,783;2019
OPEP;África;Angola;8;2020
Não OPEP;África;Chade;1,5;2011
Não OPEP;África;Chade;1,5;2012
Não OPEP;África;Chade;1,5;2013
Não OPEP;África;Chade;1,5;2014
Não OPEP;África;Chade;1,5;2015
Não OPEP;África;Chade;1,5;2016
Não OPEP;África;Chade;1,5;2017
Não OPEP;África;Chade;1,5;2018
Não OPEP;África;Chade;1,5;2019
Não OPEP;África;Chade;2;2020
OPEP;África;Congo;2;2011
OPEP;África;Congo;2;2012
OPEP;África;Congo;2,673;2013
OPEP;África;Congo;2,867;2014
OPEP;África;Congo;2,982;2015
OPEP;África;Congo;2,982;2016
OPEP;África;Congo;2,982;2017
OPEP;África;Congo;2,982;2018
OPEP;África;Congo;2,882;2019
OPEP;África;Congo;3;2020
Não OPEP;África;Egito;4,3;2011
Não OPEP;África;Egito;4,2;2012
Não OPEP;África;Egito;3,9;2013
Não OPEP;África;Egito;3,681;2014
Não OPEP;África;Egito;3,473;2015
Não OPEP;África;Egito;3,384;2016
Não OPEP;África;Egito;3,325;2017
Não OPEP;África;Egito;3,197;2018
Não OPEP;África;Egito;3,146;2019
Não OPEP;África;Egito;3;2020
OPEP;África;Gabão;2;2011
OPEP;África;Gabão;2;2012
OPEP;África;Gabão;2;2013
OPEP;África;Gabão;2;2014
OPEP;África;Gabão;2;2015
OPEP;África;Gabão;2;2016
OPEP;África;Gabão;2;2017
OPEP;África;Gabão;2;2018
OPEP;África;Gabão;2;2019
OPEP;África;Gabão;2;2020
OPEP;África;Guiné-Equatorial;1,7;2011
OPEP;África;Guiné-Equatorial;1,705;2012
OPEP;África;Guiné-Equatorial;1,705;2013
OPEP;África;Guiné-Equatorial;1,1;2014
OPEP;África;Guiné-Equatorial;1,1;2015
OPEP;África;Guiné-Equatorial;1,1;2016
OPEP;África;Guiné-Equatorial;1,1;2017
OPEP;África;Guiné-Equatorial;1,1;2018
OPEP;África;Guiné-Equatorial;1,1;2019
OPEP;África;Guiné-Equatorial;1;2020
OPEP;África;Líbia;48;2011
OPEP;África;Líbia;48,472;2012
OPEP;África;Líbia;48,363;2013
OPEP;África;Líbia;48,363;2014
OPEP;África;Líbia;48,363;2015
OPEP;África;Líbia;48,363;2016
OPEP;África;Líbia;48,363;2017
OPEP;África;Líbia;48,363;2018
OPEP;África;Líbia;48,363;2019
OPEP;África;Líbia;48;2020
OPEP;África;Nigéria;36,2;2011
OPEP;África;Nigéria;37,139;2012
OPEP;África;Nigéria;37,071;2013
OPEP;África;Nigéria;37,448;2014
OPEP;África;Nigéria;37,062;2015
OPEP;África;Nigéria;37,453;2016
OPEP;África;Nigéria;37,453;2017
OPEP;África;Nigéria;36,972;2018
OPEP;África;Nigéria;36,89;2019
OPEP;África;Nigéria;37;2020
Não OPEP;África;Sudão;5;2011
Não OPEP;África;Sudão;1,5;2012
Não OPEP;África;Sudão;1,5;2013
Não OPEP;África;Sudão;1,5;2014
Não OPEP;África;Sudão;1,5;2015
Não OPEP;África;Sudão;1,5;2016
Não OPEP;África;Sudão;1,5;2017
Não OPEP;África;Sudão;1,5;2018
Não OPEP;África;Sudão;1,5;2019
Não OPEP;África;Sudão;2;2020
Não OPEP;África;Sudão do Sul;0;2011
Não OPEP;África;Sudão do Sul;3,5;2012
Não OPEP;África;Sudão do Sul;3,5;2013
Não OPEP;África;Sudão do Sul;3,5;2014
Não OPEP;África;Sudão do Sul;3,5;2015
Não OPEP;África;Sudão do Sul;3,5;2016
Não OPEP;África;Sudão do Sul;3,5;2017
Não OPEP;África;Sudão do Sul;3,5;2018
Não OPEP;África;Sudão do Sul;3,5;2019
Não OPEP;África;Sudão do Sul;4;2020
Não OPEP;África;Tunísia;0,4;2011
Não OPEP;África;Tunísia;0,425;2012
Não OPEP;África;Tunísia;0,425;2013
Não OPEP;África;Tunísia;0,425;2014
Não OPEP;África;Tunísia;0,425;2015
Não OPEP;África;Tunísia;0,425;2016
Não OPEP;África;Tunísia;0,425;2017
Não OPEP;África;Tunísia;0,425;2018
Não OPEP;África;Tunísia;0,425;2019
Não OPEP;África;Tunísia;0;2020
Não OPEP;África;Outros;2,2;2011
Não OPEP;África;Outros;3,673112;2012
Não OPEP;África;Outros;3,673412;2013
Não OPEP;África;Outros;3,749648667;2014
Não OPEP;África;Outros;3,998975333;2015
Não OPEP;África;Outros;3,951572;2016
Não OPEP;África;Outros;3,885970988;2017
Não OPEP;África;Outros;3,807370084;2018
Não OPEP;África;Outros;3,738883922;2019
Não OPEP;África;Outros;4;2020
Não OPEP;Ásia-Pacífico;Austrália;3,9;2011
Não OPEP;Ásia-Pacífico;Austrália;3,921967461;2012
Não OPEP;Ásia-Pacífico;Austrália;3,957498602;2013
Não OPEP;Ásia-Pacífico;Austrália;2,390342096;2014
Não OPEP;Ásia-Pacífico;Austrália;2,390342096;2015
Não OPEP;Ásia-Pacífico;Austrália;2,390342096;2016
Não OPEP;Ásia-Pacífico;Austrália;2,390342096;2017
Não OPEP;Ásia-Pacífico;Austrália;2,390342096;2018
Não OPEP;Ásia-Pacífico;Austrália;2,390342096;2019
Não OPEP;Ásia-Pacífico;Austrália;2;2020
Não OPEP;Ásia-Pacífico;Brunei;1,1;2011
Não OPEP;Ásia-Pacífico;Brunei;1,1;2012
Não OPEP;Ásia-Pacífico;Brunei;1,1;2013
Não OPEP;Ásia-Pacífico;Brunei;1,1;2014
Não OPEP;Ásia-Pacífico;Brunei;1,1;2015
Não OPEP;Ásia-Pacífico;Brunei;1,1;2016
Não OPEP;Ásia-Pacífico;Brunei;1,1;2017
Não OPEP;Ásia-Pacífico;Brunei;1,1;2018
Não OPEP;Ásia-Pacífico;Brunei;1,1;2019
Não OPEP;Ásia-Pacífico;Brunei;1;2020
Não OPEP;Ásia-Pacífico;China;23,7;2011
Não OPEP;Ásia-Pacífico;China;24,42783559;2012
Não OPEP;Ásia-Pacífico;China;24,68251497;2013
Não OPEP;Ásia-Pacífico;China;25,1664555;2014
Não OPEP;Ásia-Pacífico;China;25,62646431;2015
Não OPEP;Ásia-Pacífico;China;25,66381799;2016
Não OPEP;Ásia-Pacífico;China;25,9482;2017
Não OPEP;Ásia-Pacífico;China;26,19009;2018
Não OPEP;Ásia-Pacífico;China;25,96275738;2019
Não OPEP;Ásia-Pacífico;China;26;2020
Não OPEP;Ásia-Pacífico;Índia;5,7;2011
Não OPEP;Ásia-Pacífico;Índia;5,7197127;2012
Não OPEP;Ásia-Pacífico;Índia;5,71103061;2013
Não OPEP;Ásia-Pacífico;Índia;5,74340961;2014
Não OPEP;Ásia-Pacífico;Índia;4,786068;2015
Não OPEP;Ásia-Pacífico;Índia;4,6782384;2016
Não OPEP;Ásia-Pacífico;Índia;4,54886547;2017
Não OPEP;Ásia-Pacífico;Índia;4,47657747;2018
Não OPEP;Ásia-Pacífico;Índia;4,660614314;2019
Não OPEP;Ásia-Pacífico;Índia;5;2020
Não OPEP;Ásia-Pacífico;Indonésia;3,7;2011
Não OPEP;Ásia-Pacífico;Indonésia;3,74133;2012
Não OPEP;Ásia-Pacífico;Indonésia;3,6925;2013
Não OPEP;Ásia-Pacífico;Indonésia;3,6245;2014
Não OPEP;Ásia-Pacífico;Indonésia;3,60253;2015
Não OPEP;Ásia-Pacífico;Indonésia;3,3069;2016
Não OPEP;Ásia-Pacífico;Indonésia;3,1709;2017
Não OPEP;Ásia-Pacífico;Indonésia;3,1543;2018
Não OPEP;Ásia-Pacífico;Indonésia;2,48397;2019
Não OPEP;Ásia-Pacífico;Indonésia;2;2020
Não OPEP;Ásia-Pacífico;Malásia;3,7;2011
Não OPEP;Ásia-Pacífico;Malásia;3,688;2012
Não OPEP;Ásia-Pacífico;Malásia;3,8;2013
Não OPEP;Ásia-Pacífico;Malásia;3,6;2014
Não OPEP;Ásia-Pacífico;Malásia;3,018;2015
Não OPEP;Ásia-Pacífico;Malásia;2,8356;2016
Não OPEP;Ásia-Pacífico;Malásia;2,7318;2017
Não OPEP;Ásia-Pacífico;Malásia;2,7318;2018
Não OPEP;Ásia-Pacífico;Malásia;2,7318;2019
Não OPEP;Ásia-Pacífico;Malásia;3;2020
Não OPEP;Ásia-Pacífico;Tailândia;0,5;2011
